poemId,topics,topicWords
106,"2,1,4,3,0","""光, 冷, 和, 東風, 水, 湖, 玉, 臙脂, 花""，""冰壺, 春色, 暗香, 無邊, 畫圖, 芳姿, 造化""，""妝點, 錦繡""，""緐華""，""天機"""
107,"2,4,3,1","""朵朵, 梅花, 風, 香, 鸞""，""報曉, 文錦, 瀟灑""，""滾滾""，""何湏, 妝, 楓葉"""
108,"2,1,0,4","""佳節, 情, 石, 籬, 詩, 金""，""生, 菊, 重陽, 長空, 風景""，""他鄉, 幽香, 故國""，""雁"""
109,"1,4,2,0","""參差, 往事, 關河""，""滿目, 疊疊, 雁, 風煙""，""影, 思, 情, 歸, 淚, 相逢, 素心""，""夢裏"""
110,"1,2,4,0,5,3","""參差, 夜, 天然, 妝, 寂寞, 寒, 春色, 江, 無力, 菊""，""仙, 光, 冷, 塵, 妒, 婉轉, 影, 恨, 情, 戀, 明月, 春, 柔, 柔腸, 消息, 無限, 獨, 玉漏, 秋, 笑, 芙蓉, 花, 芳心, 蕭疎, 蝶, 西風, 陰, 雲, 香""，""姮娥, 瀟灑""，""掩暎, 臨風, 輕盈""，""夜堂, 妖嬈, 欄桿""，""國色"""
111,"5,4,2","""翺翔""，""一行, 南國, 晴暉, 海門""，""東風, 楊柳, 歸, 海棠, 淚, 秋, 魂, 鶯"""
112,"2,3,0,4,1","""奇, 獨, 花, 迷離""，""秋色""，""仿佛, 掩暎, 綽約""，""東籬, 瀟灑""，""參差, 新詩"""
113,"4,5,1,2,3","""嫩白, 寒香, 東籬, 瀟灑""，""九日, 朱欄, 詩壇""，""三秋, 仔細, 小徑, 難""，""冷, 風""，""佳句"""
114,"1,2,3,4,0","""冰, 暗香, 玉骨, 疎影, 霜雪""，""塵, 詩人, 風""，""臘月""，""孤芳, 羅浮, 處士""，""精神"""
115,"2,3,1","""心, 暮, 水, 浪, 無限, 花, 風, 香, 鴛鴦""，""沙渚""，""斜陽"""
116,"2,1,3,5,0","""光, 天, 影, 春, 晴空, 樹, 火, 玉漏, 珠, 簾, 雲, 香""，""夜, 宮, 燭, 笙歌""，""銀花, 風度""，""良宵""，""金蓮"""
117,"2,1,0","""冷淡, 奇, 富貴, 情, 春, 花""，""生""，""冰心, 梅, 水仙, 羣芳"""
118,"2,0,1","""夢, 影, 思, 情懷, 梨花, 楊柳, 無聊, 珠, 簾, 細細, 詩, 風""，""淡夜""，""池塘"""
119,"3,0,2,1,5,4","""迎風""，""三月, 奇葩, 精神""，""新, 春, 桃李, 獨, 顏色""，""妝, 爛漫, 百花""，""妖嬈, 欄桿""，""芙蕖"""
120,"0,2,5,4,1,3","""大地, 春寒, 梅, 氤氳""，""人, 冷, 塘, 夢, 學, 新, 春, 曲, 東風, 歸, 流鶯, 消息, 爐香, 簾, 籬, 羅衣, 蕭索, 蟲, 階, 雲, 風, 香, 鴛鴦""，""欄桿, 秋月""，""一行, 凜冽, 妝臺, 涼風, 紫燕""，""冰, 參差, 夜, 妝, 寒, 梧桐, 爐, 舟, 花瓣, 菊, 鴻雁, 黃葉, 黃金""，""水面, 瑞雪"""
121,"2,1,4,5,0","""寺, 山, 無限, 獨, 秋, 風雨""，""寒, 新詩, 菊, 闌""，""滿天, 隨處""，""瀟瀟""，""他鄉"""
122,"4,2,3,1","""一行, 微茫, 惟恐, 曙光, 雁""，""夢, 影, 海棠, 秋, 簾, 花, 金, 香""，""寂靜""，""夜, 憔悴"""
123,"2,1,0","""冷, 天, 影, 暮, 秋, 翠, 雪, 風""，""夜, 宮, 斷續, 林, 森森, 蕭蕭""，""仿佛, 悠揚, 琴, 遠音"""
124,"1,4,2","""寒, 朔風, 楓葉, 爐, 畏, 釀成, 陣陣, 雪花""，""石徑""，""愧, 春, 晴空, 松, 詩, 輾轉"""
125,"1,2","""不許, 俗人, 君子, 翠竹""，""雲"""
126,"2,4,0","""人, 小院, 梨花, 雙雙""，""素影""，""精神, 蛺蝶"""
127,"1,2","""妝, 日日, 菱花鏡""，""人, 新"""
128,"0,2,3","""翠色""，""影, 陰, 階""，""迎風"""
129,"2,5,4","""陰, 風, 鶯""，""歌喉""，""側耳, 嚦嚦, 嬌音"""
130,"2,1","""影, 玉, 簾, 花, 陰""，""林"""
131,"2,1,5","""春, 臙脂""，""嬌紅""，""朱欄"""
132,"4,2,1,3","""兩岸, 江畔""，""山, 影, 歸, 秋, 輕舟, 雲, 風""，""鳥""，""楓林"""
133,"3,2,1,4","""平安, 江上, 雁關""，""蘆花""，""夜, 寒, 秋風""，""一行"""
134,"2,4,1","""西風""，""夕照""，""零落"""
135,"4,2,1","""晴暉, 海燕""，""歸, 簾""，""來往"""
136,"1,2","""喞喞, 寒, 梧桐""，""影, 蟲"""
137,"2,1","""何時, 夢, 相逢, 魂""，""關山, 難"""
138,"1,2","""夜, 滿地, 蕭颯, 黃花""，""無聊, 風雨, 魂"""
139,"5,2,0","""菱花""，""新, 樹, 蟬, 雪""，""悠揚"""
140,"1,2","""夜半, 檢點""，""夢, 惜, 花, 風雨"""
141,"2,1,0","""和, 花, 雲, 風, 龍""，""夜, 燒, 蓬山""，""氤氳"""
142,"1,0,2","""綠苔""，""成堆, 殷勤, 翠色""，""不惜, 君"""
143,"2,4,1","""惜, 珠, 花""，""山泉, 惟恐""，""妝, 憔悴, 顆顆"""
144,"4,2,1","""垂釣, 江魚, 波影, 隱隱""，""山, 蘆花""，""舟"""
145,"2,1","""東風, 花間, 芳菲""，""偶然, 多情"""
146,"5,1,2,4","""休問, 淸影, 良宵""，""夜""，""碧波""，""山河, 騰空"""
147,"2,0","""小院, 惜, 流鶯, 花, 芳菲""，""殷勤, 金鈴"""
148,"3,2,5","""新紅, 群芳, 蜂蝶, 雨聲, 點滴""，""簾, 翠""，""瀟瀟"""
149,"1,2,3,5","""春曉, 無力""，""情, 東風, 柔, 泣, 雨""，""太眞, 濛濛""，""嫩綠, 枝頭"""
150,"3,2,0,1","""水面""，""新, 香""，""蓮, 蜂房, 采花""，""歸來"""
151,"2,4,1","""塵, 妒, 樹, 無情, 秋, 西風""，""主人, 蕭條""，""冰, 生"""
152,"3,2,1","""江岸""，""客愁, 明月, 淚, 蘆花, 高樓""，""天涯, 秋風"""
153,"1,2","""客, 家, 登高, 茱萸, 重陽""，""思, 秋, 笑, 風雨"""
154,"2,4,1,3","""冷, 天邊, 簾""，""雁""，""不堪, 惆悵, 落葉, 蕭蕭""，""秋色"""
155,"1,2,4,5","""不堪, 夜, 寒""，""宵, 情, 異地, 芭蕉, 蟲, 雨""，""窗外""，""瀟瀟"""
156,"0,2","""萬紫千紅""，""分外, 新, 春, 春光, 留得, 童, 笑, 芳塵"""
157,"4,2,1,0","""偏逢, 新葉, 雁""，""臙脂""，""風霜""，""精神"""
158,"3,4,5,2","""秋色""，""洞庭, 磊落, 蕭條""，""枝頭""，""金, 香"""
159,"3,4,1,0,2","""濛濛""，""四野, 滿天, 窗紗""，""寒, 朔風, 林""，""凜凜""，""花, 雪, 雲"""
160,"2,5","""人, 寂寂, 淒淒, 簾, 花, 階, 風雨""，""綠痕"""
161,"1,2","""不堪, 回首, 春色, 當年, 相思""，""夜夜, 天, 湘簾, 魂"""
162,"3,2","""俗塵, 獨占""，""人間, 春, 桃李, 雪"""
163,"1,2","""春色, 書, 筆尖""，""新, 簾, 芳菲, 韶光"""
164,"1,4,5,2","""林""，""嬌音""，""歌喉""，""婉轉, 陰, 風"""
165,"2,1","""佳人, 唱, 夢, 學, 眉, 金, 閨""，""喚起"""
166,"2,1,3","""寂寂, 新, 春, 東風, 焚香, 翠, 花, 雪""，""寒""，""爐火"""
167,"2,0,5,4","""新, 東風, 珠, 簾, 翠, 韶光""，""料峭""，""嬌鷪""，""殘紅"""
168,"0,2,1","""小婢, 春寒""，""海棠, 簾, 花""，""昨夜"""
169,"1,2,3","""春雨, 鳥""，""人, 惜, 晴, 柳絮, 泥, 陰, 風""，""枝上"""
170,"5,2","""天色""，""月華, 海棠"""
171,"2,1,3","""無情, 芳菲, 風""，""夜, 深紅, 淺紅, 靑苔""，""狼籍, 轉眼"""
172,"2,3,1","""無限, 秋, 階, 風""，""情欲, 殘葉""，""可憐, 生, 辜負, 零落"""
173,"0,2","""春朝, 羅帬, 萋萋""，""女, 芳草, 迷離"""
174,"4,2,1","""垂柳""，""愁, 摧殘, 絲絲, 西風""，""夜"""
175,"0,4,2,1","""他鄉, 冷風, 夢裏, 奴""，""雁""，""影, 魂""，""客"""
176,"1,2,0","""夜, 林, 楓葉, 當年, 草木, 賦詩""，""水, 臙脂""，""何人"""
177,"2,4,1","""冷, 天, 影, 雲, 風""，""雁""，""夜, 林, 落葉"""
178,"2,4,1","""冷, 夢, 梅花, 瘦影, 風""，""庭竹""，""三更, 寒"""
179,"1,2,4","""寒, 鵞黃""，""春, 香""，""宜人"""
180,"0,1,5,2","""飛花""，""夜, 寒, 暗香, 零落""，""枝頭""，""春風, 雪"""
181,2,"""光, 冷, 瘦影, 秋, 花, 風, 香"""
182,"2,0,5,4,1","""春山, 曲徑, 溪水, 野花""，""翠色""，""長嘯""，""深谷""，""白雲"""
183,"4,2,1","""松花, 淡淡, 漠漠""，""不見, 人, 陰, 風""，""白雲"""
184,"1,2","""平蕪, 滿地""，""簾, 風"""
185,"4,1,5,2","""乘興""，""春色, 無邊, 風光""，""嬌鷪""，""花間"""
186,"1,2,5,4","""淡月""，""寂寂, 梅花, 簾""，""朱欄, 柳絮風""，""笛聲"""
187,"2,1,5,3","""山, 晚風""，""林""，""落暉""，""溪邊"""
188,"2,1,5","""人, 宵, 梨花, 無聲""，""三更, 女伴, 生, 百感, 萬籟""，""深沈"""
189,"4,2,0,1","""曲池""，""人, 新, 落花""，""萋萋""，""綠陰, 重門"""
190,"0,2,5,4","""萋萋""，""不見, 人, 夕陽, 春, 曲徑, 桃花, 芳草""，""仙犬, 暮靄""，""洞口"""
191,"2,1,0","""人, 夢, 春, 東風, 柳絮""，""書, 闌珊""，""喚醒"""
192,"2,1,3","""春, 東風, 柳, 花""，""杜鵑, 翠眉, 離離""，""繽紛"""
193,"5,2","""明媚""，""春光, 柳, 簾, 翠, 花, 雨"""
194,"4,2,0","""爽氣, 羅衫""，""塘, 天, 明月, 秋, 香""，""玉笛"""
195,"0,2,1","""明夜, 松風""，""夢, 無聲, 花, 鶴""，""書"""
196,"1,2,0","""書, 生""，""人, 水, 風, 香""，""池"""
197,"2,1","""和, 泣, 珠, 秋, 簾, 風""，""夜, 寒"""
198,"1,4,2","""喞喞, 夜, 寒, 梧桐, 難""，""月色""，""影, 新, 蟲"""
199,"1,2,4,3,0","""回首, 夜, 渺茫, 相思, 關河""，""天, 風""，""月白, 雁""，""成行""，""斷腸"""
200,"4,1,2","""差池, 往年, 海外, 紫燕, 飛來""，""客""，""思, 歸, 秋"""
201,"1,3,2,0,4","""客, 寒, 江, 相聚, 秋風, 芝蘭, 西堂, 魚, 鴻""，""蒼蒼, 西江, 飄然""，""人, 別君, 南浦, 君, 夜月, 夢, 情, 扁舟, 柳絲, 樹, 絮, 翠, 蘆花, 雨, 雲""，""不堪回首""，""漫漫"""
202,"3,2,0,1","""四面, 紅桃""，""春山""，""翠色""，""林, 鳥"""
203,"2,3,1","""光, 冷, 樹, 茫茫""，""山花, 秋色, 綠水, 遠望""，""江, 白雲, 鴉"""
204,"2,4,1,0,5","""兩地, 山, 情, 水, 獨""，""漫漫""，""難""，""孤帆, 憑欄""，""天際"""
205,"2,1,4","""人, 天, 暮, 歸, 翩翩""，""鴉""，""孤邨, 山下, 水中"""
206,"2,1,4","""天, 翠, 西風""，""客, 斜陽, 江, 舟, 蕭蕭""，""妝點, 渡頭"""
207,"2,3,0,4","""扁舟, 樹, 長江, 雨, 默默""，""篷窗""，""冷風, 舒望""，""疎雨"""
208,"3,2,4,5","""江上, 秋色""，""獨, 西風""，""夕照""，""天際"""
209,"1,3,4,2","""千萬, 靑山""，""高峰""，""銀河""，""龍"""
210,"5,2,1","""桃源, 灩灩, 綠波, 霞影""，""光, 幾多, 春, 水""，""桃花色"""
